312	30855	after
4477	1406	albeit
215	43635	although
4	2687863	and
31	364164	as
96	103003	because
314	30731	before
23	459622	but
6318	800	considering
625	16247	cos
1056	9569	except
1326	7332	for
38	261089	if
6202	822	immediately
3775	1792	like
822	12442	nor
960	10511	once
29	373808	or
1948	4692	provided
3207	2292	providing
291	32404	since
114	79028	so
67	147618	than
13	760399	that
270	34801	though
3112	2377	till
916	11011	unless
269	34807	until
87	113655	when
209	44496	where
1535	6236	whereas
260	36169	whether
187	50548	while
1635	5839	whilst
